PERIOD,Accessory to Murder,Adultery,Aid Runaway Slave,Arson,Attempted Murder,Attempted Rape,Burglary - Attempted Rape,Concealing Birth,Conspiracy to Murder,Counterfeiting,Criminal Assault,Desertion,Espionage,Forgery,Guerilla Activity,Horse Stealing,Housebreaking - Buggery,Housebreaking - Burglary,Kidnapping,Murder*,Piracy,Poisoning,Prison Break and Kidnapping,Rape,Rape - Robbery,Rioting,Robbery,Slave Revolt,Sodomy - Buggery - Bestiality,Theft,Treason,Unknown,Unknown / Other,Unspecified Felony,Witchcraft
1600,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,
1630,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,2.0,,
1640,,2.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,3.0
1650,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,8.0,,5.0
1660,,,,,1.0,,,,,,,,,,,,,,,2.0,6.0,,,,,,,,2.0,,,,2.0,,3.0
1670,,,,,,,,,,,,,,,,,,,,20.0,3.0,,,4.0,,,,,1.0,,,,10.0,,
1680,,,,2.0,,,,,,,,,,,,,,,,6.0,10.0,,,1.0,,,,,,,,,1.0,,3.0
1690,,,,1.0,,,,1.0,,,,,,,,,,,,14.0,,,,2.0,,,,,,,2.0,,,,20.0
1700,,,,1.0,,,,1.0,,,,,,,,,,5.0,,11.0,9.0,,,,,,,,,,1.0,,1.0,2.0,
1710,,,,,,,,,,,,,,,,,,1.0,,15.0,27.0,,,1.0,,,,22.0,,,,,3.0,1.0,
1720,,,,1.0,,,,,,1.0,,1.0,,,,2.0,,3.0,,25.0,35.0,,,,,,,,,3.0,,,,,
1730,,,,4.0,1.0,1.0,,1.0,,,,,,,,2.0,,20.0,,31.0,4.0,3.0,,3.0,,,8.0,14.0,,,,,13.0,1.0,
1740,,,1.0,5.0,1.0,,,,,2.0,,,,,,4.0,,11.0,,28.0,,2.0,,4.0,,,2.0,36.0,,1.0,,,2.0,5.0,
1750,,,,1.0,1.0,,,,,3.0,,,,,,4.0,,18.0,,48.0,,2.0,,2.0,,,2.0,1.0,1.0,2.0,1.0,,10.0,6.0,
1760,,,,3.0,,1.0,1.0,,,2.0,,1.0,,,,9.0,,18.0,,53.0,3.0,11.0,,5.0,,,7.0,,,2.0,6.0,,7.0,25.0,
1770,,,2.0,2.0,1.0,,,,8.0,14.0,,7.0,2.0,,,9.0,,41.0,,77.0,,4.0,,8.0,,,21.0,6.0,2.0,2.0,14.0,,8.0,24.0,1.0
1780,,,,12.0,,1.0,1.0,1.0,,7.0,,,2.0,7.0,2.0,9.0,,55.0,,65.0,2.0,2.0,,9.0,,,41.0,1.0,1.0,2.0,7.0,,36.0,22.0,
1790,,,,7.0,5.0,,,,,,,,,11.0,,4.0,,24.0,,88.0,,8.0,,16.0,,,8.0,26.0,,1.0,,,14.0,7.0,
1800,1.0,,,1.0,1.0,,,,2.0,,,,,1.0,,4.0,,5.0,,104.0,,9.0,,12.0,,,3.0,48.0,1.0,1.0,,,12.0,2.0,
